SCORE,count all,perc all,count most recent,perc most recent
0,36,6.304728546409807,36.0,6.315789473684211
2,78,13.660245183887914,78.0,13.684210526315791
3,37,6.47985989492119,37.0,6.491228070175438
4,24,4.203152364273205,24.0,4.2105263157894735
5,22,3.852889667250438,22.0,3.8596491228070176
6,6,1.0507880910683012,6.0,1.0526315789473684
7,17,2.9772329246935203,17.0,2.982456140350877
8,2,0.3502626970227671,2.0,0.3508771929824561
9,52,9.106830122591944,52.0,9.12280701754386
10,31,5.42907180385289,31.0,5.43859649122807
11,29,5.078809106830122,29.0,5.087719298245614
12,11,1.926444833625219,11.0,1.9298245614035088
13,8,1.4010507880910683,8.0,1.4035087719298245
14,1,0.17513134851138354,1.0,0.17543859649122806
15,6,1.0507880910683012,6.0,1.0526315789473684
16,2,0.3502626970227671,2.0,0.3508771929824561
17,9,1.5761821366024518,9.0,1.5789473684210527
18,8,1.4010507880910683,8.0,1.4035087719298245
19,9,1.5761821366024518,9.0,1.5789473684210527
20,8,1.4010507880910683,8.0,1.4035087719298245
21,15,2.626970227670753,15.0,2.631578947368421
22,13,2.276707530647986,13.0,2.280701754385965
23,7,1.2259194395796849,7.0,1.2280701754385965
24,8,1.4010507880910683,8.0,1.4035087719298245
25,11,1.926444833625219,11.0,1.9298245614035088
26,10,1.7513134851138354,10.0,1.7543859649122806
27,18,3.1523642732049035,18.0,3.1578947368421053
28,2,0.3502626970227671,2.0,0.3508771929824561
29,6,1.0507880910683012,6.0,1.0526315789473684
30,3,0.5253940455341506,3.0,0.5263157894736842
31,1,0.17513134851138354,,
32,5,0.8756567425569177,5.0,0.8771929824561403
33,3,0.5253940455341506,3.0,0.5263157894736842
34,3,0.5253940455341506,3.0,0.5263157894736842
35,6,1.0507880910683012,6.0,1.0526315789473684
36,7,1.2259194395796849,7.0,1.2280701754385965
37,6,1.0507880910683012,6.0,1.0526315789473684
38,3,0.5253940455341506,3.0,0.5263157894736842
39,2,0.3502626970227671,2.0,0.3508771929824561
40,4,0.7005253940455342,4.0,0.7017543859649122
41,2,0.3502626970227671,2.0,0.3508771929824561
42,1,0.17513134851138354,1.0,0.17543859649122806
43,4,0.7005253940455342,4.0,0.7017543859649122
44,2,0.3502626970227671,2.0,0.3508771929824561
45,2,0.3502626970227671,2.0,0.3508771929824561
46,2,0.3502626970227671,2.0,0.3508771929824561
48,3,0.5253940455341506,3.0,0.5263157894736842
49,2,0.3502626970227671,2.0,0.3508771929824561
50,4,0.7005253940455342,4.0,0.7017543859649122
52,2,0.3502626970227671,2.0,0.3508771929824561
53,1,0.17513134851138354,1.0,0.17543859649122806
54,1,0.17513134851138354,1.0,0.17543859649122806
55,1,0.17513134851138354,1.0,0.17543859649122806
56,1,0.17513134851138354,1.0,0.17543859649122806
57,1,0.17513134851138354,1.0,0.17543859649122806
58,1,0.17513134851138354,1.0,0.17543859649122806
60,1,0.17513134851138354,1.0,0.17543859649122806
62,1,0.17513134851138354,1.0,0.17543859649122806
63,1,0.17513134851138354,1.0,0.17543859649122806
64,1,0.17513134851138354,1.0,0.17543859649122806
65,1,0.17513134851138354,1.0,0.17543859649122806
66,2,0.3502626970227671,2.0,0.3508771929824561
69,1,0.17513134851138354,1.0,0.17543859649122806
71,1,0.17513134851138354,1.0,0.17543859649122806
72,1,0.17513134851138354,1.0,0.17543859649122806
76,1,0.17513134851138354,1.0,0.17543859649122806
80,1,0.17513134851138354,1.0,0.17543859649122806
