GRADE,count,% of grades assigned in last year
A,63449,86.78329138855455
B,5743,7.855071670861144
C,1953,2.6712441186125395
G,1,0.0013677645256592625
N,4,0.00547105810263705
P,1391,1.902560455192034
Z,571,0.7809935441514388
